slug,first_name,last_name,credentials,title_line,role,pillars,specialties,modalities,age_groups,locations,formats,headshot_url,bio_p1,bio_p2,bullet_1,bullet_2,bullet_3,active,notes
lauren-hollander,Lauren,Hollander,"LCSW, SEP",Licensed Clinical Social Worker and Somatic Experiencing Practitioner,Clinician,wisdom,"somatic therapy;trauma;PTSD;depression;anxiety;bipolar disorder;borderline personality disorder","somatic therapy;Somatic Experiencing",adults,[NEEDS],in person;telehealth,[NEEDS],"Lauren focuses on incorporating a client's mind, body, spirit, and emotions in the healing process.","She creates a safe and judgment free space with her clients and focuses on moving toward healing and growth.",Somatic Experiencing Practitioner,Specializes in trauma and PTSD,Works with bipolar disorder and borderline personality disorder,true,
paula-gonthier,Paula,Gonthier,LCSW,Licensed Clinical Social Worker,Clinician,wisdom,"couples;health issues;midlife",couples therapy,adults;couples,[NEEDS],in person;telehealth,[NEEDS],"Paula helps clients access their own strengths and talents to recognize and remove the roadblocks that prevent them from achieving their goals.","Together you will rediscover hope and meaning and learn to approach challenges with calm and self assurance.",Specializes in couples,Works with health related concerns,Supports clients through midlife changes,true,
anna-ostrow,Anna,Ostrow,MHC-LP,Mental Health Counselor (Limited Permit),Clinician,wisdom,"adolescents;young adults;adults;anxiety;depression;life transitions;relationships;stress management",individual therapy,teens;young adults;adults,[NEEDS],in person;telehealth,[NEEDS],"Life can be overwhelming, but you do not have to go through it alone. Anna creates a warm, supportive, and judgment free space where you can feel safe to be yourself.","Whether you are feeling anxious, overwhelmed, or trying to make sense of things, Anna works with you to explore what is coming up and find ways to move forward.",Specializes in anxiety and depression,Works with adolescents and young adults,Supports life transitions and relationships,true,
charity-meyer,Charity (Valen),Meyer,MFT-LP,Marriage and Family Therapist (Limited Permit),Clinician,wisdom,"LGBTQIA+;neurodivergence;addiction;depression;anxiety;bipolar disorder;relationship issues;polyamorous relationships","family therapy;couples therapy",adults;couples;families,[NEEDS],in person;telehealth,[NEEDS],"Recognizing that every person's path is unique, Charity creates a safe, warm, and non judgmental space where you feel heard and understood.","Charity meets you with compassion wherever you are, adapting the therapeutic approach to help you reframe your story, develop practical solutions, and make meaningful changes.",LGBTQIA+ affirming and neurodivergence informed,Works with relationship issues including polyamorous relationships,Experienced with addiction and bipolar disorder,true,
chelsea-bell,Chelsea,Bell,LMSW,Licensed Master Social Worker,Clinician,wisdom,"anxiety;depression;trauma;self esteem;mindfulness",mindfulness,adults,[NEEDS],in person;telehealth,[NEEDS],"Taking the first step to seek help can be difficult and rewarding. Chelsea creates a comfortable environment that is free of judgment and unique to you.","Together you can explore your goals and overcome life's challenges.",Specializes in anxiety and depression,Trauma informed,Works with self esteem using mindfulness,true,
frank-tropeano,Frank,Tropeano,LMSW,Licensed Master Social Worker,Clinician,wisdom,"anxiety;depression;conflict;problem solving;couples;relationships",couples therapy,adults;couples,[NEEDS],in person;telehealth,[NEEDS],"Life can sometimes feel overwhelming, but you do not have to go through those times alone. Frank creates an open space where clients feel safe and supported as they work through challenges.","Together you will work to create the best version of yourself.",Specializes in anxiety and depression,Works with couples and relationships,Focus on conflict and problem solving,true,
juliette-squicciarini,Juliette,Squicciarini,LMSW,Licensed Master Social Worker,Clinician,wisdom,"adolescents;adults;anxiety;depression;stress management;substance use",individual therapy,teens;adults,[NEEDS],in person;telehealth,[NEEDS],"The thought of therapy can be intimidating. Juliette is committed to creating a positive, uplifting, and safe space where you will feel seen and heard.","Together you will work through life experiences in a supportive environment where you can heal and grow.",Specializes in anxiety and depression,Works with adolescents and adults,Supports substance use concerns,true,
kathleen-dimartino,Kathleen,Dimartino,LMSW,Licensed Master Social Worker,Clinician,wisdom,"chronic pain;chronic illness;borderline personality disorder;self harm;depression;anxiety",individual therapy,adults,[NEEDS],in person;telehealth,[NEEDS],"The challenges we face in life may feel overwhelming at times. Therapy is often a great place to start, or continue, when you need extra support.","Kathleen works with you to face life's difficulties and help you feel better.",Specializes in chronic pain and illness,Works with borderline personality disorder,Treats depression and anxiety,true,
lindsay-laier,Lindsay,Laier,LMFT,Licensed Marriage and Family Therapist,Clinician,wisdom,"individuals;family relationships;life transitions;boundaries;couples;parenting;divorce;teens;young adults","family therapy;couples therapy",teens;young adults;adults;couples;families,[NEEDS],in person;telehealth,[NEEDS],"Life is a cycle and change can bring many challenges. Lindsay works with individuals, families, and couples to provide insight and perspective on the challenges life puts in our paths.","Together you will establish goals for therapy and build the tools needed to bring positive change in a relaxed, non judgmental environment.",Specializes in family relationships and couples,Works with parenting and divorce,Supports teens and young adults through transitions,true,
maddy-zambri,Maddy,Zambri,LMHC,Licensed Mental Health Counselor,Clinician,wisdom,"life transitions;stress management;addiction;anxiety;mood disorders;LGBTQIA+;neurodivergence",individual therapy,adults,[NEEDS],in person;telehealth,[NEEDS],"Life is full of changes and challenges that affect people across many aspects of their lives. Reaching out for help during these times is often a struggle in itself, but no destination is reached without taking the first step.","Maddy provides a safe, judgment free environment to explore your life and helps you regain and maintain balance through the changes and challenges of life.",Specializes in life transitions and stress,LGBTQIA+ affirming and neurodivergence informed,Works with addiction and mood disorders,true,
mariah-simone,Mariah,Simone,MHC-LP,Mental Health Counselor (Limited Permit),Clinician,wisdom,"anxiety;depression;self esteem;coping skills;stress;adolescents;teens;young adults","mindfulness;CBT;psychodynamic",teens;young adults;adults,[NEEDS],in person;telehealth,[NEEDS],"Mariah's goal as a therapist is to help you feel safe, heard, and comfortable while working toward your therapeutic goals.","Her approach is eclectic, using aspects of mindfulness, cognitive behavioral, and psychodynamic approaches to help you achieve your unique goals.",Specializes in anxiety and depression,Works with adolescents and young adults,Focus on self esteem and coping skills,true,
nicole-duffy,Nicole,Duffy,LMSW,Licensed Master Social Worker,Clinician,wisdom,"domestic violence recovery;sexual assault recovery;joy and purpose;strength and confidence",individual therapy,adults,[NEEDS],in person;telehealth,[NEEDS],"Everyone should feel comfortable, safe, and understood. With a person centered approach, Nicole meets you where you are.","Each session is tailored to your goals and identifies skills to move toward change.",Specializes in recovery from domestic violence and sexual assault,Helps clients rediscover joy and purpose,Builds strength and confidence,true,
kalovna-edmond,Kalovna,Edmond,MFT-LP,Marriage and Family Therapist (Limited Permit),Clinician,wisdom,"couples therapy;communication skills;anxiety;stress;life transitions",couples therapy;family therapy,adults;couples;families,[NEEDS],in person;telehealth,[NEEDS],"Kalovna believes healthy relationships are the foundation of a fulfilling life. As a Marriage and Family Therapist, she helps couples and families improve communication, strengthen trust, and create lasting change.","Her goal is to provide a safe, supportive space where you feel seen and understood as you work together toward growth and healing.",Specializes in couples therapy,Focus on communication skills,Supports anxiety and life transitions,true,
madeline-amzler,Madeline,Amzler,LMSW,Licensed Master Social Worker,Clinician,wisdom,"relationship trauma;attachment healing;first responders;veterans",trauma therapy,adults,[NEEDS],in person;telehealth,[NEEDS],"Together, you will explore patterns, work through difficult experiences, and build practical tools for change.","Madeline is especially passionate about supporting individuals working through trauma, relationship challenges, and life transitions, helping you reconnect with your strengths and sense of self.",Specializes in relationship trauma and attachment healing,Works with first responders and veterans,Trauma informed,true,
sofia-marinucci,Sofia,Marinucci,MHC-LP,Mental Health Counselor (Limited Permit),Clinician,wisdom,"anxiety;OCD;ADHD;depression;relational issues;stress;life transitions;school refusal;autism;teens;adolescents;adults;families",individual therapy;family therapy,teens;adults;families,[NEEDS],in person;telehealth,[NEEDS],"Sofia believes therapy should be a space where you feel comfortable, supported, and accepted without judgment.","Using a person centered approach, she creates a collaborative environment where your unique experiences, strengths, and goals guide the work.",Specializes in anxiety and OCD,Works with ADHD and autism,Supports school refusal in teens,true,
colm-ashe,Colm,Ashe,LMSW,Licensed Master Social Worker,Clinician,wisdom,"parts work;spirituality;adolescent and transitional age;somatic connection;creative purpose;men's issues;trauma",parts work;mindfulness;somatic,teens;young adults;adults,[NEEDS],in person;telehealth,[NEEDS],"Colm breaks down mindfulness tools into practical steps that build somatic safety and help you create meaningful change in your life.","Together you can explore old stories, regulate your nervous system, and reconnect with a grounded sense of self.",Trained in parts work and somatic connection,Works with men's issues and trauma,Supports adolescent and transitional age clients,true,
karen-hill,Karen (Ren),Hill,LMSW,Licensed Master Social Worker,Clinician,wisdom,"chronic stress;anxiety;sexual assault;complex PTSD;intimate partner violence",trauma therapy,adults,[NEEDS],in person;telehealth,[NEEDS],"Whether you are experiencing mental health challenges, daily stressors, life transitions, or other hardships, you deserve compassion, respect, and acceptance regardless of your identity, background, or circumstances.","Ren provides a reassuring, supportive space where you can feel safe, accepted, and understood, and works with you to identify your needs and strengths while setting reasonable goals.",Specializes in complex PTSD and chronic stress,Works with survivors of sexual assault and intimate partner violence,Trauma informed,true,
tia-baumohl,Tia,Baumohl,"Certified Coach, Energy Medicine Practitioner",Certified Coach and Energy Medicine Practitioner,Specialized Care,wisdom;wellness,"assertiveness;confidence building;effective communication;IFS parts work;attachment patterns;codependency;anxiety;nervous system regulation;pregnancy and postpartum support","coaching;somatic awareness;IFS informed practice;energy work;Reiki;IET",adults;couples,[NEEDS],in person;telehealth,https://images.squarespace-cdn.com/content/v1/626fd436b72f1038e8381e68/f9b75430-7a74-42ec-b32f-9f1caa599c9f/Captura+de+pantalla+2026-08-06+143639.png,"Tia's work is rooted in helping people move through change with greater clarity, connection, and confidence. She began her career supporting mothers and their partners through pregnancy and labor, giving her more than a decade of experience guiding people through some of life's most significant moments.","Over the past five years, she has expanded that work through energy medicine and coaching, supporting individuals and couples as they work through challenging dynamics, strengthen communication, and uncover new possibilities. Her approach is warm, strategic, and whole person.",Leads Performance and Wellness Coaching,Trained in Somatic Awareness and IFS informed practices,Energy medicine practitioner (Reiki and IET),true,Appears under both Wisdom (coaching) and Wellness (energy work)
tiffany-roberts,Tiffany,Roberts,"PMHNP, MSN, BSN, RN-BC",Psychiatric Mental Health Nurse Practitioner,Prescriber,medication,"anxiety;depression;mood disorders;ADHD",medication management,adolescents 10+;adults,[NEEDS],in person;telehealth,https://images.squarespace-cdn.com/content/v1/5f1c8357aeb2de46daf50944/6d023149-3944-406a-be37-36307d2ff6b7/Tiffany+Roberts%2C+Nurse+Practitioner%2C+Med+Management.png,"Tiffany has spent more than 20 years caring for people in almost every kind of circumstance, from hospital patients and outpatient care to individuals in the correctional and shelter systems. One thing has stayed with her: you cannot understand someone's mental health by looking only at their symptoms.","As a psychiatric nurse practitioner, Tiffany works with adolescents and adults who want more than a quick prescription and a return visit. Medication can be an important part of treatment, and she also helps people build the changes, skills, and support that make lasting improvement possible.",Over 20 years of nursing experience across hospital outpatient correctional and psychiatric settings,Serves adolescents ages 10 and up and adults,Whole person approach integrating medication management lifestyle changes and coping skills,true,Author and reviewer for medication management and ketamine pages
christine-cervo,Christine,Cervo,LMT,Licensed Massage Therapist and Wellness Leader,Wellness Leadership,wellness,"therapeutic massage;aromatherapy;reflexology;sports massage;prenatal massage","medical massage;sports massage;Swedish massage;pregnancy massage;hot stone;massage based cupping",adults,[NEEDS],in person,https://images.squarespace-cdn.com/content/v1/626fd436b72f1038e8381e68/04bcb16c-1515-408f-b90c-e12605679535/image4.jpeg,"Christine is a licensed massage therapist with a simple goal: to help people feel better in their bodies. A graduate of the New York College of Health Professions, she has additional training in aromatherapy, reflexology, sports massage, and prenatal massage.","Christine pays close attention to what the body is communicating and understands that no two bodies, or days, feel exactly the same. Some sessions focus on tension, pain, or recovery. Others create space for quiet, rest, and a reset.",New York State Licensed Massage Therapist,Trained in sports and prenatal massage,Helps lead the Wellness pillar,true,Reviewer for massage page
danielle-ingenito,Danielle,Ingenito,LMT,Licensed Massage Therapist,Wellness Provider,wellness,"therapeutic massage;deep tissue;trigger point;sports massage;meditation;breathwork","medical massage;deep tissue;trigger point;sports massage",adults,[NEEDS],in person,https://images.squarespace-cdn.com/content/v1/626fd436b72f1038e8381e68/5307ff60-eafc-464c-b082-f7c5beee3d9b/Screenshot+2026-08-21+at+2.06.20%E2%80%AFPM.png,"Danielle is a licensed massage therapist with 12 years of experience, specializing in therapeutic massage and deep tissue techniques. She completed more than 1,100 hours of training at the Connecticut Center for Massage Therapy in Westport, Connecticut.","Her approach is tailored to each client, with a focus on relieving tension, reducing pain, and supporting overall wellness. She is also trained in Transcendental Meditation and has practiced for over 10 years.",12 years of massage experience,Deep tissue trigger point and sports massage,Trained in meditation and breathwork,true,
leonard-ma,Leonard,Ma,L.Ac.,Licensed Acupuncturist,Wellness Provider,wellness,"musculoskeletal pain;neck and shoulder tension;back pain;headaches;stress related tension;sleep;recovery","acupuncture;cupping;acupressure;electrical stimulation",teens;adults,[NEEDS],in person,https://images.squarespace-cdn.com/content/v1/626fd436b72f1038e8381e68/6356166a-2f70-4ca8-baaf-c47940e2fbea/Screenshot+2026-08-21+at+2.35.07%E2%80%AFPM.png,"Leonard believes effective care requires understanding both the presenting concern and the person experiencing it. His clinical approach considers muscle tension, joint discomfort, inflammation, and pain while recognizing how physical symptoms may intersect with stress, emotional well being, and daily functioning.","Leonard's connection to acupuncture began early. He saw its impact within his own family and experienced its benefits personally as a child. At Pathways Within, he brings a calm, thorough approach to assessment and treatment, helping patients participate actively in an individualized plan of care.",Licensed Acupuncturist,Offers cupping acupressure and electrical stimulation,Coordinates with massage and mental health providers,true,Reviewer for acupuncture and cupping pages
gloria-saladino,Gloria,Saladino,,Front Desk Manager,Admin,none,,,,[NEEDS],,[NEEDS],"As a front desk manager at Pathways Within, Gloria makes sure every client's experience is welcoming and supportive.","She is proud to be part of a team that honors whole person wellness, whether through clinical therapy services or body care.",,,,true,Admin team; no provider page, directory listing only
